Date,Price,Open,High,Low,Vol.,Change %
5/6/2026,"53,605.08","52,557.63","54,044.67","52,767.97",738.67M,1.99%
5/5/2026,"52,557.63","51,973.50","52,595.35","51,367.47",496.94M,1.12%
5/4/2026,"51,973.50","52,312.70","52,704.76","51,818.87",692.00M,-0.65%
5/3/2026,"52,312.70","51,760.97","52,393.85","51,818.92",700.54M,1.07%
4/30/2026,"51,760.97","52,383.13","52,538.84","51,748.64",637.54M,-1.19%
4/29/2026,"52,383.13","52,230.61","52,431.85","52,096.15",420.47M,0.29%
4/28/2026,"52,230.61","52,719.12","52,896.87","52,213.64",402.73M,-0.93%
4/27/2026,"52,719.12","52,421.14","52,865.76","52,353.93",341.83M,0.57%
4/26/2026,"52,421.14","52,375.39","52,632.40","52,327.40",699.41M,0.09%
4/23/2026,"52,375.39","51,962.39","52,556.52","52,010.73",888.72M,0.79%
4/22/2026,"51,962.39","51,977.34","52,373.77","51,962.39",816.09M,-0.03%
4/21/2026,"51,977.34","51,813.43","52,139.50","51,764.87",649.29M,0.32%
4/20/2026,"51,813.43","52,372.64","52,180.01","51,305.11",415.88M,-1.07%
4/19/2026,"52,372.64","51,437.78","52,718.45","52,024.36",564.77M,1.82%
4/16/2026,"51,437.78","50,733.14","51,437.78","50,826.35",767.94M,1.39%
4/15/2026,"50,733.14","49,978.62","50,733.14","50,005.91",450.75M,1.51%
4/14/2026,"49,978.62","49,078.60","50,018.42","49,211.97",330.94M,1.83%
4/12/2026,"49,078.60","49,078.60","49,078.60","49,078.60",368.20M,0.00%
4/9/2026,"49,078.60","48,593.99","49,144.02","48,328.24",368.20M,1.00%
4/8/2026,"48,593.99","46,681.78","48,602.58","47,660.26",631.50M,4.10%
4/7/2026,"46,681.78","47,651.58","47,132.48","46,664.14",522.92M,-2.04%
4/6/2026,"47,651.58","47,276.43","47,838.21","47,317.18",392.06M,0.79%
4/5/2026,"47,276.43","46,399.00","47,299.47","46,455.64",463.33M,1.89%
4/2/2026,"46,399.00","46,731.49","46,699.57","46,079.18",544.81M,-0.71%
4/1/2026,"46,731.49","45,321.59","46,731.49","45,854.47",441.14M,3.11%
3/31/2026,"45,321.59","45,189.89","45,689.91","45,089.98",571.59M,0.29%
3/30/2026,"45,189.89","46,404.27","46,601.65","45,093.84",538.79M,-2.62%
3/29/2026,"46,404.27","47,001.89","46,998.78","46,281.28",514.61M,-1.27%
3/26/2026,"47,001.89","47,497.91","47,671.46","47,001.89",320.60M,-1.04%
3/25/2026,"47,497.91","46,930.88","47,743.65","46,998.38",444.91M,1.21%
3/24/2026,"46,930.88","47,611.96","47,533.66","46,930.88",448.60M,-1.43%
3/18/2026,"47,611.96","46,054.61","47,611.96","46,064.13",362.31M,3.38%
3/17/2026,"46,054.61","45,187.72","46,310.29","45,265.84",252.86M,1.92%
3/16/2026,"45,187.72","45,926.93","46,358.18","45,014.25",294.11M,-1.61%
3/15/2026,"45,926.93","46,790.96","46,955.53","45,903.50",371.87M,-1.85%
3/12/2026,"46,790.96","47,195.39","47,743.04","46,723.45",535.83M,-0.86%
3/11/2026,"47,195.39","47,772.74","47,974.71","47,195.39",247.87M,-1.21%
3/10/2026,"47,772.74","46,414.85","47,772.74","46,665.35",424.00M,2.93%
3/9/2026,"46,414.85","46,774.24","47,084.14","45,848.50",575.02M,-0.77%
3/8/2026,"46,774.24","47,516.44","47,699.89","46,708.99",523.46M,-1.56%
3/5/2026,"47,516.44","46,452.14","47,753.53","46,913.23",443.41M,2.29%
3/4/2026,"46,452.14","46,725.81","46,881.09","44,587.71",424.03M,-0.59%
3/3/2026,"46,725.81","47,692.49","47,656.82","46,391.23",390.72M,-2.03%
3/2/2026,"47,692.49","47,984.26","48,182.60","47,576.43",344.20M,-0.61%
3/1/2026,"47,984.26","49,212.83","47,984.26","46,339.32",355.58M,-2.50%
2/26/2026,"49,212.83","49,014.32","49,232.95","48,424.42",355.13M,0.40%
2/25/2026,"49,014.32","50,390.21","50,454.43","48,230.58",412.02M,-2.73%
2/24/2026,"50,390.21","50,870.06","51,088.77","50,390.21",614.34M,-0.94%
2/23/2026,"50,870.06","49,560.88","50,870.06","49,546.10",364.82M,2.64%
2/22/2026,"49,560.88","50,667.67","51,145.24","49,289.31",258.60M,-2.18%
2/19/2026,"50,667.67","52,222.34","52,399.65","50,651.96",344.60M,-2.98%
2/18/2026,"52,222.34","51,833.76","52,256.54","51,882.81",586.91M,0.75%
2/17/2026,"51,833.76","51,493.53","52,105.88","51,441.59",430.09M,0.66%
2/16/2026,"51,493.53","52,308.32","52,821.72","51,463.47",571.23M,-1.56%
2/15/2026,"52,308.32","50,490.20","52,308.32","50,523.44",502.62M,3.60%
2/12/2026,"50,490.20","49,700.24","50,490.20","49,610.06",554.36M,1.59%
2/11/2026,"49,700.24","50,376.15","50,587.83","49,700.24",401.07M,-1.34%
2/10/2026,"50,376.15","50,293.53","50,928.77","50,288.38",463.53M,0.16%
2/9/2026,"50,293.53","50,035.23","50,397.35","49,923.11",399.98M,0.52%
2/8/2026,"50,035.23","49,739.03","50,370.95","49,861.47",525.29M,0.60%
2/5/2026,"49,739.03","49,631.56","49,972.97","49,189.68",411.43M,0.22%
2/4/2026,"49,631.56","48,978.48","49,661.01","48,996.49",489.47M,1.33%
2/3/2026,"48,978.48","47,606.28","49,235.65","47,623.39",500.49M,2.88%
2/2/2026,"47,606.28","47,662.74","47,755.84","46,967.09",624.58M,-0.12%
2/1/2026,"47,662.74","47,785.93","47,724.10","47,132.87",411.17M,-0.26%
1/28/2026,"47,785.93","47,834.55","48,287.02","47,447.64",241.03M,-0.10%
1/27/2026,"47,834.55","47,507.43","47,928.60","47,519.37",228.82M,0.69%
1/26/2026,"47,507.43","46,857.73","47,507.43","46,853.36",345.85M,1.39%
1/25/2026,"46,857.73","46,462.32","47,141.20","46,536.52",276.99M,0.85%
1/22/2026,"46,462.32","46,048.69","46,820.40","46,068.06",308.81M,0.90%
1/21/2026,"46,048.69","45,905.16","46,131.82","45,627.41",421.04M,0.31%
1/20/2026,"45,905.16","45,048.44","46,149.85","45,188.44",362.88M,1.90%
1/19/2026,"45,048.44","43,952.52","45,048.44","43,955.97",225.40M,2.49%
1/18/2026,"43,952.52","43,346.87","44,152.38","43,391.43",150.09M,1.40%
1/15/2026,"43,346.87","43,058.34","44,144.88","43,005.66",155.76M,0.67%
1/14/2026,"43,058.34","43,684.22","43,687.45","42,518.13",246.65M,-1.43%
1/13/2026,"43,684.22","43,404.25","44,369.91","43,625.09",255.29M,0.65%
1/12/2026,"43,404.25","42,895.41","43,632.63","42,788.92",245.01M,1.19%
1/11/2026,"42,895.41","41,856.76","42,965.07","42,371.90",265.16M,2.48%
1/8/2026,"41,856.76","41,543.46","42,112.08","41,555.44",197.05M,0.75%
1/6/2026,"41,543.46","40,676.98","41,617.54","40,696.11",148.79M,2.13%
1/5/2026,"40,676.98","40,898.15","41,189.01","40,232.47",316.98M,-0.54%
1/4/2026,"40,898.15","41,828.97","42,007.44","40,898.15",196.77M,-2.23%
12/31/2025,"41,828.97","41,689.96","41,979.47","41,689.69",284.65M,0.33%
12/30/2025,"41,689.96","41,731.68","41,785.56","41,593.23",224.02M,-0.10%
12/29/2025,"41,731.68","41,604.74","41,732.27","41,549.83",187.55M,0.31%
12/28/2025,"41,604.74","41,253.02","41,668.50","41,264.66",174.23M,0.85%
12/25/2025,"41,253.02","41,508.31","41,540.77","41,178.18",245.56M,-0.62%
12/24/2025,"41,508.31","41,419.32","41,618.02","41,396.17",226.51M,0.21%
12/23/2025,"41,419.32","41,102.76","41,419.32","40,904.85",224.59M,0.77%
12/22/2025,"41,102.76","41,348.38","41,508.39","41,095.70",190.78M,-0.59%
12/21/2025,"41,348.38","40,926.86","41,365.43","40,941.46",225.06M,1.03%
12/18/2025,"40,926.86","41,504.03","41,760.85","40,926.86",322.28M,-1.39%
12/17/2025,"41,504.03","42,002.37","42,284.16","41,504.03",283.30M,-1.19%
12/16/2025,"42,002.37","42,305.36","42,511.09","41,979.82",246.93M,-0.72%
12/15/2025,"42,305.36","42,065.20","42,624.11","42,075.48",327.48M,0.57%
12/14/2025,"42,065.20","42,033.78","42,249.59","41,957.60",2.80B,0.07%
12/11/2025,"42,033.78","42,052.79","42,346.37","42,014.82",388.03M,-0.05%
12/10/2025,"42,052.79","41,940.62","42,091.42","41,963.75",321.85M,0.27%
12/9/2025,"41,940.62","41,963.24","41,992.68","41,751.57",379.88M,-0.05%
12/8/2025,"41,963.24","41,762.43","42,089.84","41,800.55",363.02M,0.48%
12/7/2025,"41,762.43","41,499.07","41,850.54","41,547.35",501.06M,0.63%
12/4/2025,"41,499.07","41,342.03","41,780.03","41,375.78",532.47M,0.38%
12/3/2025,"41,342.03","40,625.63","41,470.85","40,643.16",408.47M,1.76%
12/2/2025,"40,625.63","40,693.92","40,991.10","40,515.15",764.19M,-0.17%
12/1/2025,"40,693.92","40,753.45","41,010.96","40,536.09",773.91M,-0.15%
11/30/2025,"40,753.45","40,039.24","40,753.45","40,066.23",712.28M,1.78%
11/27/2025,"40,039.24","39,537.25","40,049.28","39,536.73",385.65M,1.27%
11/26/2025,"39,537.25","39,902.53","40,029.58","39,537.25",423.66M,-0.92%
11/25/2025,"39,902.53","39,725.26","40,284.34","39,782.17",676.47M,0.45%
11/24/2025,"39,725.26","40,445.66","40,572.28","39,725.26",735.20M,-1.78%
11/23/2025,"40,445.66","40,302.39","40,808.22","40,331.62",129.81M,0.36%
11/20/2025,"40,302.39","40,509.16","40,649.08","40,302.39",108.21M,-0.51%
11/19/2025,"40,509.16","40,501.28","40,581.82","40,311.79",111.84M,0.02%
11/18/2025,"40,501.28","41,065.75","41,141.21","40,501.28",133.58M,-1.37%
11/17/2025,"41,065.75","41,211.27","41,443.10","40,911.54",217.77M,-0.35%
11/16/2025,"41,211.27","40,190.62","41,342.05","40,207.22",181.09M,2.54%
11/13/2025,"40,190.62","40,228.76","40,500.96","40,129.78",162.25M,-0.09%
11/12/2025,"40,228.76","40,261.16","40,619.69","40,184.86",211.88M,-0.08%
11/11/2025,"40,261.16","40,427.35","40,613.89","40,261.16",200.38M,-0.41%
11/10/2025,"40,427.35","40,821.96","40,950.79","40,377.95",199.88M,-0.97%
11/9/2025,"40,821.96","39,949.66","40,851.32","39,984.21",180.11M,2.18%
11/6/2025,"39,949.66","39,132.25","40,101.34","39,170.42",209.45M,2.09%
11/5/2025,"39,132.25","39,065.73","39,323.94","38,718.66",207.47M,0.17%
11/4/2025,"39,065.73","38,622.84","39,073.26","38,765.38",183.71M,1.15%
11/3/2025,"38,622.84","38,082.88","38,622.84","38,007.30",147.03M,1.42%
11/2/2025,"38,082.88","38,267.80","38,431.31","38,058.58",161.37M,-0.48%
10/30/2025,"38,267.80","38,229.53","38,409.26","38,130.03",231.61M,0.10%
10/29/2025,"38,229.53","38,304.94","38,360.12","38,128.50",216.51M,-0.20%
10/28/2025,"38,304.94","38,162.01","38,400.43","38,100.54",173.32M,0.37%
10/27/2025,"38,162.01","38,101.96","38,287.56","38,049.06",224.47M,0.16%
10/26/2025,"38,101.96","37,687.04","38,171.83","37,700.29",188.09M,1.10%
10/23/2025,"37,687.04","37,576.55","37,687.04","37,502.86",153.35M,0.29%
10/22/2025,"37,576.55","37,698.49","37,680.30","37,550.22",147.64M,-0.32%
10/21/2025,"37,698.49","37,975.06","38,091.40","37,698.49",158.68M,-0.73%
10/20/2025,"37,975.06","37,909.61","38,182.00","37,915.94",180.46M,0.17%
10/19/2025,"37,909.61","37,677.19","38,011.12","37,689.24",133.67M,0.62%
10/16/2025,"37,677.19","37,654.04","37,858.80","37,659.73",232.42M,0.06%
10/15/2025,"37,654.04","37,459.13","37,676.62","37,365.80",118.51M,0.52%
10/14/2025,"37,459.13","37,409.85","37,689.99","37,415.09",173.37M,0.13%
10/13/2025,"37,409.85","37,378.58","37,612.71","37,330.82",187.63M,0.08%
10/12/2025,"37,378.58","37,376.93","37,490.01","37,096.31",163.30M,0.00%
10/8/2025,"37,376.93","37,097.37","37,376.93","36,957.85",109.38M,0.75%
10/7/2025,"37,097.37","37,094.80","37,203.31","37,034.83",151.55M,0.01%
10/6/2025,"37,094.80","37,210.83","37,318.69","36,988.00",114.46M,-0.31%
10/5/2025,"37,210.83","36,900.70","37,389.53","36,905.19",90.61M,0.84%
10/2/2025,"36,900.70","36,769.18","37,035.75","36,700.25",174.31M,0.36%
10/1/2025,"36,769.18","36,670.08","37,000.01","36,696.09",183.85M,0.27%
9/30/2025,"36,670.08","36,391.00","36,699.76","36,410.72",226.03M,0.77%
9/29/2025,"36,391.00","36,166.08","36,391.00","36,126.29",159.45M,0.62%
9/28/2025,"36,166.08","35,671.43","36,219.49","35,698.28",156.92M,1.39%
9/25/2025,"35,671.43","35,949.12","35,988.95","35,671.43",140.27M,-0.77%
9/24/2025,"35,949.12","35,328.63","35,949.12","35,328.63",142.25M,1.76%
9/23/2025,"35,328.63","35,210.70","35,397.02","35,207.54",186.03M,0.33%
9/22/2025,"35,210.70","35,247.04","35,360.93","34,925.19",105.96M,-0.10%
9/21/2025,"35,247.04","35,403.00","35,500.65","35,235.44",100.06M,-0.44%
9/18/2025,"35,403.00","34,974.84","35,403.00","34,976.94",137.89M,1.22%
9/17/2025,"34,974.84","34,840.82","35,011.17","34,707.41",102.13M,0.38%
9/16/2025,"34,840.82","35,165.84","35,221.71","34,751.44",128.34M,-0.92%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
